specie, 0.68628353307661194
selection, 0.21190899272441166
modification, 0.16632801217155355
variety, 0.16437184511967018
structure, 0.13627507889545237
plant, 0.12615988516613125
organ, 0.1204671697435799
formation, 0.11696900077154944
animal, 0.11624068043562462
group, 0.1137779602450428
period, 0.10342133844807649
character, 0.095774354713322685
modify, 0.091622487192438845
organic, 0.088041183376435059
distinct, 0.087538733176374742
intermediate, 0.087216050493089517
variation, 0.085785441634576493
fact, 0.07930693702043469
insect, 0.076092737061061733
breed, 0.073966836559882537
production, 0.073707475730230149
individual, 0.07346411003531475
sterility, 0.073335532639275877
nature, 0.070887364939498113
seed, 0.06725020330634833
produce, 0.066963934618812476
exist, 0.065387045800253799
rudimentary, 0.065019132030698201
degree, 0.064936791585813211
island, 0.063544905304808122
area, 0.063231636607489899
instance, 0.06167512625501894
fertility, 0.059113365981320685
generally, 0.059006490984369081
fossil, 0.058970840679005342
naturalist, 0.057180683674458985
instinct, 0.056253579357439437
common, 0.055134617175165206
climate, 0.051106220548258342
habit, 0.050790441935455226
extinction, 0.050646896871114844
domestic, 0.049395648729539561
extinct, 0.049280998385820542
theory, 0.048684919970841144
vary, 0.048430233883888257
differ, 0.048329555591491942
inhabitant, 0.047982313762743957
classification, 0.047909226769973494
widely, 0.047288449870955061
class, 0.047162340742310425
parent, 0.047145889781480828
successive, 0.046579029801742652
descendant, 0.044555526274711217
closely, 0.043884224450686557
generation, 0.042072879511125851
affinity, 0.041972312568603273
organisation, 0.041582003042888387
flower, 0.041512104210108904
ally, 0.041498217308319096
difficulty, 0.040859349936902531
pigeon, 0.04033742335305391
sexual, 0.040069930204965173
progenitor, 0.039247222721890282
offspring, 0.039242276492412652
embryo, 0.039011798941264136
distribution, 0.038389310276161527
important, 0.037953923849242427
variable, 0.037877452805812707
male, 0.037254026064529426
sterile, 0.03704578452911874
america, 0.036957895452317369
continent, 0.035580049423707544
analogous, 0.035533711691195527
increase, 0.034764684721286437
principle, 0.034608336372055133
slight, 0.034493085621901384
importance, 0.033717301563009269
law, 0.033481967309406238
range, 0.032744687094845536
remark, 0.032547390521974896
relation, 0.032237415374146559
geographical, 0.032167623688410779
chapter, 0.031982794141428489
probably, 0.031505495528665835
archipelago, 0.031483206163125436
descent, 0.030916701003380873
bee, 0.030888174774427433
inherit, 0.030876064802519775
gradation, 0.030814414181752275
europe, 0.030175761112268839
general, 0.03007702148133103
descend, 0.02960430183297048
process, 0.029139879106634847
ant, 0.02892781739511438
cell, 0.02868560006968766
occur, 0.028168927856859611
rank, 0.028168927856859611
fertile, 0.028152160869185122
tendency, 0.028117565124817757
secondary, 0.028006865473204398
complex, 0.027987041760361157
favourable, 0.027942309018023193
mongrel, 0.027376701011413429
tend, 0.027279382766642993
colour, 0.027233205108584409
disuse, 0.027041220608476486
struggle, 0.026345112640349874
relate, 0.02609332264635417
sea, 0.026073513540964825
adapt, 0.02595467549983178
consequently, 0.02595467549983178
diagram, 0.025783489417384554
arctic, 0.025705238244694638
region, 0.025612180994978195
inheritance, 0.025476811163491736
exterminate, 0.025154623821838591
inhabit, 0.025107986974094918
dominant, 0.025089483653078941
explain, 0.024969602739218211
existence, 0.024963771349535705
naturalise, 0.024949201825733028
graft, 0.024639030910272086
develop, 0.024244062236226008
ancient, 0.024118366282199408
tree, 0.02355087531085354
improve, 0.023411521663449061
interval, 0.023411521663449061
specific, 0.023268027035200693
supplant, 0.023268027035200693
extremely, 0.022938160939296591
sediment, 0.022681092568848208
accumulate, 0.022600396999871701
compare, 0.022542725248959176
nest, 0.022387955898999942
growth, 0.022352415638717659
australia, 0.022172101832953484
rule, 0.022132147882488868
diversify, 0.021901360809130743
competition, 0.021714084124418141
stage, 0.021698260347983264
migrate, 0.021216943283845404
largely, 0.021196318324862618
divergence, 0.021169019730924995
size, 0.020997165939797134
origin, 0.020956731763517394
slowly, 0.020756052105054452
unite, 0.020756052105054452
link, 0.020697142340150618
sex, 0.020545815454428819
terrestrial, 0.020421672740878208
transport, 0.020331162474868224
evidence, 0.0201483846088416
record, 0.0201483846088416
admit, 0.020145929482778331
doe, 0.020098333354493722
deposit, 0.019898584549871031
graduate, 0.019848108233274736
reversion, 0.019848108233274736
stock, 0.019838409461013271
physical, 0.019723982836251666
continuous, 0.019623611360945141
wing, 0.019528434313184937
flora, 0.019494833461924908
independently, 0.019254720012828023
fish, 0.019218459165356604
numerous, 0.019128084540553331
strictly, 0.019033428699876637
distant, 0.01901193695695352
south, 0.01901193695695352
madeira, 0.018865967866378945
zealand, 0.018865967866378945
egg, 0.018803879717832091
creation, 0.018767498597120461
race, 0.01874033785756847
connect, 0.018680446894549008
external, 0.018533410729781524
marine, 0.018533410729781524
southern, 0.018491233908985938
female, 0.018479674895110848
rarely, 0.018426868932557537
alpine, 0.018144874055078565
neuter, 0.018144874055078565
create, 0.018123583346809479
similar, 0.017982763016852178
author, 0.017881932510974127
affect, 0.017875965597394856
diverge, 0.017794855657418729
useful, 0.017668583426214943
include, 0.017507060426947118
result, 0.017507060426947118
various, 0.017494386774260177
beak, 0.017443210098617906
epoch, 0.017388837636116962
parallelism, 0.017388837636116962
average, 0.017339610543159079
shell, 0.017339610543159079
member, 0.017197871744187972
resemble, 0.017136851989683538
recent, 0.017057490208761864
represent, 0.017048633130558277
extreme, 0.017024729140376053
transmit, 0.016979371079741051
acquire, 0.016964870770615263
occasional, 0.016812550826587083
dispersal, 0.016632801217155355
rate, 0.016534445958783391
remote, 0.01643796114989346
deviation, 0.016426020606848057
likewise, 0.016391771468392949
adult, 0.016337338192702566
